value,group,up_proposals,up_bypassed,up_chosen,down_proposals,down_chosen,down_collision,first_up_proposal_step,first_bypass_step,first_down_proposal_step,first_visit_step,visited,addition_window_complete,mechanism
972275,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
972276,adjacent_control,1,0,1,0,0,0,315243.0,,,315243.0,True,True,visited_by_addition
972826,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
972827,catalogue_hole,1,1,0,0,0,0,315709.0,315709.0,,,False,True,bypassed_addition_only
972828,adjacent_control,0,0,0,1,1,0,,,315819.0,315819.0,True,True,visited_by_down
976366,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
976367,catalogue_hole,1,1,0,0,0,0,318625.0,318625.0,,,False,True,bypassed_addition_only
976368,adjacent_control,0,0,0,1,1,0,,,319499.0,319499.0,True,True,visited_by_down
1007254,adjacent_control,0,0,0,1,1,0,,,2473100.0,2473100.0,True,True,visited_by_down
1007255,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1007256,adjacent_control,1,1,0,1,1,0,344355.0,344355.0,357315.0,357315.0,True,True,visited_by_down
1007257,adjacent_control,1,1,0,0,0,0,357317.0,357317.0,,,False,True,bypassed_addition_only
1007258,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1007259,adjacent_control,1,1,0,3,1,2,344357.0,344357.0,356449.0,356449.0,True,True,visited_by_down
1007260,adjacent_control,2,2,0,1,1,0,356451.0,356451.0,5126387.0,5126387.0,True,True,visited_by_down
1007261,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1007262,adjacent_control,1,1,0,4,1,3,344359.0,344359.0,356391.0,356391.0,True,True,visited_by_down
1007263,adjacent_control,3,3,0,1,1,0,356393.0,356393.0,2473094.0,2473094.0,True,True,visited_by_down
1007264,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1007265,adjacent_control,1,1,0,4,1,3,344361.0,344361.0,356221.0,356221.0,True,True,visited_by_down
1007266,adjacent_control,4,4,0,0,0,0,356223.0,356223.0,,,False,True,bypassed_addition_only
1007267,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1007268,adjacent_control,1,1,0,6,1,5,344363.0,344363.0,355811.0,355811.0,True,True,visited_by_down
1007269,adjacent_control,5,5,0,1,1,0,355813.0,355813.0,5126381.0,5126381.0,True,True,visited_by_down
1007270,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1007271,adjacent_control,1,1,0,7,1,6,344365.0,344365.0,354477.0,354477.0,True,True,visited_by_down
1007272,adjacent_control,6,6,0,2,1,1,354479.0,354479.0,2473088.0,2473088.0,True,True,visited_by_down
1007273,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1007274,adjacent_control,1,1,0,7,1,6,344367.0,344367.0,350903.0,350903.0,True,True,visited_by_down
1010689,adjacent_control,1,1,0,2,1,1,359605.0,359605.0,2470074.0,2470074.0,True,True,visited_by_down
1010690,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1010691,adjacent_control,0,0,0,1,1,0,,,360753.0,360753.0,True,True,visited_by_down
1017004,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1017005,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1017006,adjacent_control,1,1,0,1,1,0,367127.0,367127.0,367167.0,367167.0,True,True,visited_by_down
1022041,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1022042,catalogue_hole,1,1,0,0,0,0,370571.0,370571.0,,,False,True,bypassed_addition_only
1022043,adjacent_control,0,0,0,3,1,2,,,372241.0,372241.0,True,True,visited_by_down
1036372,adjacent_control,0,0,0,1,1,0,,,9706052.0,9706052.0,True,True,visited_by_down
1036373,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1036374,adjacent_control,1,1,0,2,1,1,386343.0,386343.0,1032995.0,1032995.0,True,True,visited_by_down
1049704,adjacent_control,0,0,0,1,1,0,,,5092715.0,5092715.0,True,True,visited_by_down
1049705,catalogue_hole,1,1,0,0,0,0,395669.0,395669.0,,,False,True,bypassed_addition_only
1049706,adjacent_control,1,1,0,4,1,3,229584.0,229584.0,1015883.0,1015883.0,True,True,visited_by_down
1137507,adjacent_control,1,1,0,0,0,0,512473.0,512473.0,,,False,True,bypassed_addition_only
1137508,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1137509,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1137510,adjacent_control,1,1,0,1,1,0,512475.0,512475.0,512579.0,512579.0,True,True,visited_by_down
1138992,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1138993,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1138994,adjacent_control,1,1,0,1,1,0,514791.0,514791.0,261712.0,261712.0,True,True,visited_by_down
1139097,adjacent_control,1,1,0,0,0,0,261782.0,261782.0,,,False,True,bypassed_addition_only
1139098,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1139099,adjacent_control,1,1,0,2,1,1,514861.0,514861.0,261818.0,261818.0,True,True,visited_by_down
1139271,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1139272,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1139273,adjacent_control,1,1,0,3,1,2,514977.0,514977.0,835793.0,835793.0,True,True,visited_by_down
1141428,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1141429,catalogue_hole,1,1,0,0,0,0,517589.0,517589.0,,,False,True,bypassed_addition_only
1141430,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1141431,adjacent_control,0,0,0,1,1,0,,,517625.0,517625.0,True,True,visited_by_down
1145041,adjacent_control,1,1,0,0,0,0,523197.0,523197.0,,,False,True,bypassed_addition_only
1145042,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1145043,adjacent_control,1,0,1,0,0,0,263974.0,,,263974.0,True,True,visited_by_addition
1145605,adjacent_control,1,1,0,0,0,0,523573.0,523573.0,,,False,True,bypassed_addition_only
1145606,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1145607,adjacent_control,0,0,0,1,1,0,,,523769.0,523769.0,True,True,visited_by_down
1148329,adjacent_control,1,1,0,1,1,0,526681.0,526681.0,5022977.0,5022977.0,True,True,visited_by_down
1148330,catalogue_hole,1,1,0,0,0,0,196623.0,196623.0,,,False,True,bypassed_addition_only
1148331,adjacent_control,0,0,0,2,1,1,,,196701.0,196701.0,True,True,visited_by_down
1149886,adjacent_control,2,2,0,0,0,0,197299.0,197299.0,,,False,True,bypassed_addition_only
1149887,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1149888,adjacent_control,0,0,0,1,1,0,,,528759.0,528759.0,True,True,visited_by_down
1659042,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1659043,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1659044,adjacent_control,1,0,1,0,0,0,517600.0,,,517600.0,True,True,visited_by_addition
1661418,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1661419,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1661420,adjacent_control,1,0,1,0,0,0,519276.0,,,519276.0,True,True,visited_by_addition
1723695,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1723696,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1723697,adjacent_control,1,0,1,0,0,0,554898.0,,,554898.0,True,True,visited_by_addition
1723926,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1723927,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1723928,adjacent_control,1,1,0,1,1,0,555052.0,555052.0,555172.0,555172.0,True,True,visited_by_down
1973344,adjacent_control,1,1,0,0,0,0,796800.0,796800.0,,,False,True,bypassed_addition_only
1973345,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1973346,adjacent_control,0,0,0,1,1,0,,,1470188.0,1470188.0,True,True,visited_by_down
1985949,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1985950,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1985951,adjacent_control,1,1,0,1,1,0,868786.0,868786.0,1459342.0,1459342.0,True,True,visited_by_down
1986457,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1986458,catalogue_hole,1,1,0,0,0,0,869124.0,869124.0,,,False,True,bypassed_addition_only
1986459,adjacent_control,0,0,0,1,1,0,,,1459098.0,1459098.0,True,True,visited_by_down
1991458,adjacent_control,1,1,0,0,0,0,874088.0,874088.0,,,False,True,bypassed_addition_only
1991459,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1991460,adjacent_control,0,0,0,1,1,0,,,1454100.0,1454100.0,True,True,visited_by_down
1991656,adjacent_control,1,1,0,0,0,0,874220.0,874220.0,,,False,True,bypassed_addition_only
1991657,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1991658,adjacent_control,0,0,0,1,1,0,,,875560.0,875560.0,True,True,visited_by_down
1993966,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
1993967,catalogue_hole,1,1,0,0,0,0,877358.0,877358.0,,,False,True,bypassed_addition_only
1993968,adjacent_control,0,0,0,1,1,0,,,877876.0,877876.0,True,True,visited_by_down
2015049,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
2015050,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
2015051,adjacent_control,1,1,0,1,1,0,897990.0,897990.0,898966.0,898966.0,True,True,visited_by_down
2021724,adjacent_control,1,1,0,0,0,0,904588.0,904588.0,,,False,True,bypassed_addition_only
2021725,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
2021726,adjacent_control,0,0,0,1,1,0,,,1424760.0,1424760.0,True,True,visited_by_down
2023214,adjacent_control,1,1,0,0,0,0,926800.0,926800.0,,,False,True,bypassed_addition_only
2023215,catalogue_hole,1,1,0,0,0,0,905582.0,905582.0,,,False,True,bypassed_addition_only
2023216,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
2023217,adjacent_control,1,1,0,1,1,0,926802.0,926802.0,926702.0,926702.0,True,True,visited_by_down
2025882,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
2025883,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
2025884,adjacent_control,2,2,0,1,1,0,456499.0,456499.0,934824.0,934824.0,True,True,visited_by_down
2027637,adjacent_control,1,1,0,0,0,0,936670.0,936670.0,,,False,True,bypassed_addition_only
2027638,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
2027639,adjacent_control,1,1,0,1,1,0,457669.0,457669.0,1418778.0,1418778.0,True,True,visited_by_down
2028645,adjacent_control,1,1,0,0,0,0,937342.0,937342.0,,,False,True,bypassed_addition_only
2028646,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
2028647,adjacent_control,1,1,0,1,1,0,458341.0,458341.0,938242.0,938242.0,True,True,visited_by_down
2028648,adjacent_control,2,2,0,0,0,0,937344.0,937344.0,,,False,True,bypassed_addition_only
2028649,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
2028650,adjacent_control,1,1,0,2,1,1,458343.0,458343.0,938012.0,938012.0,True,True,visited_by_down
2028651,adjacent_control,3,3,0,0,0,0,937346.0,937346.0,,,False,True,bypassed_addition_only
2028652,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
2028653,adjacent_control,1,1,0,3,1,2,458345.0,458345.0,937806.0,937806.0,True,True,visited_by_down
2279064,adjacent_control,1,1,0,0,0,0,555107.0,555107.0,,,False,True,bypassed_addition_only
2279065,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
2279066,adjacent_control,0,0,0,1,1,0,,,555111.0,555111.0,True,True,visited_by_down
3063758,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
3063759,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
3063760,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
3063761,adjacent_control,1,0,1,1,0,1,1004325.0,,8192302.0,1004325.0,True,True,visited_by_addition
3064548,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
3064549,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
3064550,adjacent_control,2,1,1,0,0,0,623576.0,623576.0,,1004695.0,True,True,visited_by_addition
3080321,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
3080322,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
3080323,adjacent_control,2,1,1,0,0,0,633866.0,1015117.0,,633866.0,True,True,visited_by_addition
3257130,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
3257131,catalogue_hole,1,1,0,0,0,0,1195681.0,1195681.0,,,False,True,bypassed_addition_only
3257132,adjacent_control,0,0,0,1,1,0,,,1196527.0,1196527.0,True,True,visited_by_down
3259275,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
3259276,catalogue_hole,1,1,0,0,0,0,1198435.0,1198435.0,,,False,True,bypassed_addition_only
3259277,adjacent_control,0,0,0,1,1,0,,,1198681.0,1198681.0,True,True,visited_by_down
3268722,adjacent_control,1,1,0,0,0,0,1206979.0,1206979.0,,,False,True,bypassed_addition_only
3268723,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
3268724,adjacent_control,0,0,0,2,1,1,,,3180699.0,3180699.0,True,True,visited_by_down
3269019,adjacent_control,1,1,0,0,0,0,1207177.0,1207177.0,,,False,True,bypassed_addition_only
3269020,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
3269021,adjacent_control,1,0,1,0,0,0,699438.0,,,699438.0,True,True,visited_by_addition
3270414,adjacent_control,1,1,0,0,0,0,1208107.0,1208107.0,,,False,True,bypassed_addition_only
3270415,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
3270416,adjacent_control,0,0,0,1,1,0,,,1209823.0,1209823.0,True,True,visited_by_down
3271818,adjacent_control,1,1,0,0,0,0,1210759.0,1210759.0,,,False,True,bypassed_addition_only
3271819,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
3271820,adjacent_control,0,0,0,1,1,0,,,3179003.0,3179003.0,True,True,visited_by_down
3277659,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
3277660,catalogue_hole,1,1,0,0,0,0,1216383.0,1216383.0,,,False,True,bypassed_addition_only
3277661,adjacent_control,0,0,0,2,1,1,,,3171445.0,3171445.0,True,True,visited_by_down
3281916,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
3281917,catalogue_hole,1,1,0,0,0,0,1219221.0,1219221.0,,,False,True,bypassed_addition_only
3281918,adjacent_control,0,0,0,1,1,0,,,3169103.0,3169103.0,True,True,visited_by_down
3291759,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
3291760,catalogue_hole,1,1,0,0,0,0,1225783.0,1225783.0,,,False,True,bypassed_addition_only
3291761,adjacent_control,0,0,0,2,1,1,,,1231173.0,1231173.0,True,True,visited_by_down
3297141,adjacent_control,2,2,0,0,0,0,709174.0,709174.0,,,False,True,bypassed_addition_only
3297142,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
3297143,adjacent_control,0,0,0,1,1,0,,,1236557.0,1236557.0,True,True,visited_by_down
3611394,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
3611395,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
3611396,adjacent_control,1,0,1,0,0,0,817696.0,,,817696.0,True,True,visited_by_addition
3615194,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
3615195,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
3615196,adjacent_control,0,0,0,1,1,0,,,819792.0,819792.0,True,True,visited_by_down
3995453,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
3995454,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
3995455,adjacent_control,1,0,1,0,0,0,972294.0,,,972294.0,True,True,visited_by_addition
5082623,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
5082624,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
5082625,adjacent_control,1,0,1,0,0,0,1584266.0,,,1584266.0,True,True,visited_by_addition
5269775,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
5269776,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
5269777,adjacent_control,1,0,1,0,0,0,1690946.0,,,1690946.0,True,True,visited_by_addition
5305327,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
5305328,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
5305329,adjacent_control,0,0,0,2,1,1,,,1727734.0,1727734.0,True,True,visited_by_down
5914344,adjacent_control,1,1,0,0,0,0,2384928.0,2384928.0,,,False,True,bypassed_addition_only
5914345,catalogue_hole,1,1,0,0,0,0,2357186.0,2357186.0,,,False,True,bypassed_addition_only
5914346,adjacent_control,0,0,0,3,1,2,,,2382716.0,2382716.0,True,True,visited_by_down
5914347,adjacent_control,2,2,0,0,0,0,2382718.0,2382718.0,,,False,True,bypassed_addition_only
5914348,catalogue_hole,1,1,0,0,0,0,2357188.0,2357188.0,,,False,True,bypassed_addition_only
5914349,adjacent_control,0,0,0,4,1,3,,,2380502.0,2380502.0,True,True,visited_by_down
5921121,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
5921122,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
5921123,adjacent_control,1,1,0,1,1,0,2391658.0,2391658.0,2392018.0,2392018.0,True,True,visited_by_down
5921820,adjacent_control,1,1,0,0,0,0,2392484.0,2392484.0,,,False,True,bypassed_addition_only
5921821,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
5921822,adjacent_control,0,0,0,1,1,0,,,2392720.0,2392720.0,True,True,visited_by_down
5924090,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
5924091,catalogue_hole,1,1,0,0,0,0,2394330.0,2394330.0,,,False,True,bypassed_addition_only
5924092,adjacent_control,0,0,0,1,1,0,,,2395064.0,2395064.0,True,True,visited_by_down
5953448,adjacent_control,1,1,0,0,0,0,2473088.0,2473088.0,,,False,True,bypassed_addition_only
5953449,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
5953450,adjacent_control,1,1,0,1,1,0,1293495.0,1293495.0,2473092.0,2473092.0,True,True,visited_by_down
5969198,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
5969199,catalogue_hole,1,1,0,0,0,0,2491110.0,2491110.0,,,False,True,bypassed_addition_only
5969200,adjacent_control,0,0,0,1,1,0,,,5498616.0,5498616.0,True,True,visited_by_down
6073163,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
6073164,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
6073165,adjacent_control,1,1,0,2,1,1,2600298.0,2600298.0,2603018.0,2603018.0,True,True,visited_by_down
6075398,adjacent_control,1,1,0,0,0,0,2605060.0,2605060.0,,,False,True,bypassed_addition_only
6075399,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
6075400,adjacent_control,0,0,0,1,1,0,,,2605328.0,2605328.0,True,True,visited_by_down
6121475,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
6121476,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
6121477,adjacent_control,1,1,0,1,1,0,2651618.0,2651618.0,5152494.0,5152494.0,True,True,visited_by_down
6129470,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
6129471,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
6129472,adjacent_control,1,1,0,1,1,0,2656948.0,2656948.0,2666740.0,2666740.0,True,True,visited_by_down
6139796,adjacent_control,1,1,0,0,0,0,2675344.0,2675344.0,,,False,True,bypassed_addition_only
6139797,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
6139798,adjacent_control,0,0,0,2,1,1,,,5107888.0,5107888.0,True,True,visited_by_down
6159065,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
6159066,catalogue_hole,1,1,0,0,0,0,2696360.0,2696360.0,,,False,True,bypassed_addition_only
6159067,adjacent_control,0,0,0,2,1,1,,,5035638.0,5035638.0,True,True,visited_by_down
6166649,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
6166650,catalogue_hole,1,1,0,0,0,0,2705136.0,2705136.0,,,False,True,bypassed_addition_only
6166651,adjacent_control,0,0,0,1,1,0,,,5028218.0,5028218.0,True,True,visited_by_down
6166916,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
6166917,catalogue_hole,1,1,0,0,0,0,2705314.0,2705314.0,,,False,True,bypassed_addition_only
6166918,adjacent_control,0,0,0,1,1,0,,,5027948.0,5027948.0,True,True,visited_by_down
6980597,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
6980598,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
6980599,adjacent_control,1,0,1,0,0,0,1700917.0,,,1700917.0,True,True,visited_by_addition
6988247,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
6988248,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
6988249,adjacent_control,0,0,0,1,1,0,,,1705213.0,1705213.0,True,True,visited_by_down
7033061,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
7033062,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
7033063,adjacent_control,0,0,0,1,1,0,,,1727733.0,1727733.0,True,True,visited_by_down
7242170,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
7242171,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
7242172,adjacent_control,0,0,0,1,1,0,,,1833675.0,1833675.0,True,True,visited_by_down
7255316,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
7255317,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
7255318,adjacent_control,0,0,0,1,1,0,,,1846859.0,1846859.0,True,True,visited_by_down
7710047,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
7710048,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
7710049,adjacent_control,1,0,1,0,0,0,1421038.0,,,1421038.0,True,True,visited_by_addition
7808588,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
7808589,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
7808590,adjacent_control,1,0,1,0,0,0,1454264.0,,,1454264.0,True,True,visited_by_addition
9159086,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
9159087,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
9159088,adjacent_control,1,0,1,0,0,0,2874347.0,,,2874347.0,True,True,visited_by_addition
9574812,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
9574813,catalogue_hole,1,1,0,0,0,0,3128789.0,3128789.0,,,False,True,bypassed_addition_only
9574814,adjacent_control,0,0,0,1,1,0,,,3129359.0,3129359.0,True,True,visited_by_down
9577860,adjacent_control,0,0,0,1,1,0,,,3132611.0,3132611.0,True,True,visited_by_down
9577861,catalogue_hole,1,1,0,0,0,0,3132869.0,3132869.0,,,False,True,bypassed_addition_only
9577862,adjacent_control,1,1,0,1,1,0,3131999.0,3131999.0,3132411.0,3132411.0,True,True,visited_by_down
9580538,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
9580539,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
9580540,adjacent_control,0,0,0,1,1,0,,,3135583.0,3135583.0,True,True,visited_by_down
9585305,adjacent_control,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
9585306,catalogue_hole,0,0,0,0,0,0,,,,,False,True,no_observed_proposal
9585307,adjacent_control,0,0,0,1,1,0,,,3140505.0,3140505.0,True,True,visited_by_down
